Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
StreamReplaceFunctions.queryDistinctFilterForEach                                N/A  avgt    2       131,351          us/op
StreamReplaceFunctions.queryDistinctForEach                                      N/A  avgt    2       135,598          us/op
StreamReplaceFunctions.queryFilterForEach                                        N/A  avgt    2       145,659          us/op
StreamReplaceFunctions.queryForEach                                              N/A  avgt    2        51,279          us/op
StreamReplaceFunctions.streamDistinctFilterForEach                               N/A  avgt    2       182,420          us/op
StreamReplaceFunctions.streamDistinctForEach                                     N/A  avgt    2       183,699          us/op
StreamReplaceFunctions.streamFilterForEach                                       N/A  avgt    2       191,786          us/op
StreamReplaceFunctions.streamForEach                                             N/A  avgt    2        44,320          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addAVLTreeSetBenchmark             100    ss    2     15740,050          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addAVLTreeSetBenchmark            1000    ss    2    125578,000          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addAVLTreeSetBenchmark           10000    ss    2   1608801,350          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArrayQueueBenchmark             100    ss    2      1576,450          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArrayQueueBenchmark            1000    ss    2      8403,000          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArrayQueueBenchmark           10000    ss    2     34147,250          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArraySetBenchmark               100    ss    2      4156,650          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArraySetBenchmark              1000    ss    2    187658,900          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addArraySetBenchmark             10000    ss    2  17372468,000          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArrayQueueBenchmark        100    ss    2      3126,500          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArrayQueueBenchmark       1000    ss    2     14223,800          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArrayQueueBenchmark      10000    ss    2     85652,300          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArraySetBenchmark          100    ss    2      5904,950          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArraySetBenchmark         1000    ss    2    189357,050          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyArraySetBenchmark        10000    ss    2  17468791,650          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyFIFOQueueBenchmark         100    ss    2      2621,500          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyFIFOQueueBenchmark        1000    ss    2     14527,200          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyFIFOQueueBenchmark       10000    ss    2     86799,800          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyHeapQueueBenchmark         100    ss    2      3652,150          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyHeapQueueBenchmark        1000    ss    2     19099,300          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyHeapQueueBenchmark       10000    ss    2    186968,750          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyLinkedSetBenchmark         100    ss    2     10892,900          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyLinkedSetBenchmark        1000    ss    2     33438,450          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyLinkedSetBenchmark       10000    ss    2    375209,300          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyList                       100    ss    2      3019,250          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyList                      1000    ss    2     15109,550          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptyList                     10000    ss    2     91007,700          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptySetBenchmark               100    ss    2      8731,400          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptySetBenchmark              1000    ss    2     21629,800          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addEmptySetBenchmark             10000    ss    2    328172,650          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addFIFOQueueBenchmark              100    ss    2      1787,900          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addFIFOQueueBenchmark             1000    ss    2      8600,650          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addFIFOQueueBenchmark            10000    ss    2     33600,000          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addHeapQueueBenchmark              100    ss    2      2456,400          us/op
impl.fastutil.FastUtilAddCollectionBenchmarks.addHeapQueueBenchmark             1000    ss    2     11938,400          us/op
